,Team,goalsFor,goalsAgainst,xGFor,xGAgainst,shotsFor,shotsAgainst,cornersFor,cornersAgainst,pkFor,pkAgainst,pkShotsFor,pkShotsAgainst,possessionPct,isHome,Result,PointsGained
0,PRO,1.911764705882353,1.3823529411764706,1.2370588235294118,1.346470588235294,13.294117647058824,14.205882352941176,4.176470588235294,4.5588235294117645,0.058823529411764705,0.08823529411764706,0.23529411764705882,0.20588235294117646,0.4741176470588235,0.5,0.14705882352941177,1.6470588235294117
1,MAN,1.4705882352941178,1.5588235294117647,1.280294117647059,1.2155882352941179,13.235294117647058,13.058823529411764,4.794117647058823,4.735294117647059,0.0,0.0,0.14705882352941177,0.23529411764705882,0.49676470588235305,0.5,-0.20588235294117646,1.0294117647058822
2,REN,1.5,1.3823529411764706,1.3182352941176472,1.1908823529411765,13.676470588235293,12.970588235294118,4.9411764705882355,4.911764705882353,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.20588235294117646,0.5279411764705882,0.5,-0.029411764705882353,1.3235294117647058
3,OAK,1.6176470588235294,1.4705882352941178,1.258235294117647,1.0844117647058824,13.205882352941176,12.441176470588236,4.735294117647059,4.823529411764706,0.029411764705882353,0.0,0.20588235294117646,0.14705882352941177,0.4641176470588235,0.5,0.11764705882352941,1.5588235294117647
4,ANC,1.7647058823529411,1.2647058823529411,1.5491176470588235,1.1708823529411765,14.941176470588236,11.617647058823529,4.617647058823529,5.029411764705882,0.0,0.058823529411764705,0.14705882352941177,0.17647058823529413,0.48294117647058826,0.5,0.38235294117647056,1.9705882352941178
5,DES,1.6470588235294117,1.5294117647058822,1.1411764705882355,1.1808823529411767,11.852941176470589,12.323529411764707,4.676470588235294,5.323529411764706,0.058823529411764705,0.0,0.14705882352941177,0.17647058823529413,0.5311764705882354,0.5,0.0,1.3823529411764706
6,SAS,1.6176470588235294,1.411764705882353,1.3111764705882352,1.1491176470588236,14.088235294117647,13.0,4.764705882352941,4.235294117647059,0.058823529411764705,0.0,0.2647058823529412,0.17647058823529413,0.49558823529411766,0.5,0.058823529411764705,1.4705882352941178
7,TUC,1.4411764705882353,2.176470588235294,1.2147058823529413,1.427352941176471,12.117647058823529,13.470588235294118,5.117647058823529,4.764705882352941,0.08823529411764706,0.0,0.17647058823529413,0.14705882352941177,0.4882352941176471,0.5,-0.29411764705882354,0.9705882352941176
8,DOV,1.8235294117647058,1.7647058823529411,1.472941176470588,1.0632352941176473,15.264705882352942,10.764705882352942,4.588235294117647,5.411764705882353,0.029411764705882353,0.08823529411764706,0.17647058823529413,0.17647058823529413,0.44705882352941173,0.5,0.058823529411764705,1.4705882352941178
9,JAC,1.7058823529411764,1.1764705882352942,1.4620588235294119,1.16,13.882352941176471,12.176470588235293,4.588235294117647,4.264705882352941,0.0,0.029411764705882353,0.11764705882352941,0.14705882352941177,0.5479411764705882,0.5,0.29411764705882354,1.7941176470588236
10,SJU,1.1470588235294117,1.911764705882353,1.1538235294117647,1.476470588235294,11.941176470588236,12.411764705882353,4.676470588235294,5.0588235294117645,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.2647058823529412,0.4673529411764706,0.5,-0.4117647058823529,0.7647058823529411
11,LAR,1.588235294117647,1.5588235294117647,1.301764705882353,1.0676470588235296,12.529411764705882,12.441176470588236,5.176470588235294,4.147058823529412,0.08823529411764706,0.029411764705882353,0.20588235294117646,0.11764705882352941,0.506764705882353,0.5,0.23529411764705882,1.7647058823529411
12,SFS,1.7352941176470589,1.6176470588235294,1.4526470588235292,1.2597058823529412,12.794117647058824,12.941176470588236,4.117647058823529,4.9411764705882355,0.029411764705882353,0.029411764705882353,0.2647058823529412,0.08823529411764706,0.5591176470588236,0.5,0.17647058823529413,1.6176470588235294
13,ALB,1.6176470588235294,1.9705882352941178,1.2547058823529411,1.3926470588235293,12.617647058823529,13.882352941176471,4.911764705882353,3.5294117647058822,0.0,0.0,0.11764705882352941,0.29411764705882354,0.47705882352941176,0.5,-0.17647058823529413,1.088235294117647
14,BOI,1.5294117647058822,1.5294117647058822,1.4897058823529412,1.1632352941176471,14.352941176470589,13.117647058823529,4.911764705882353,6.0,0.029411764705882353,0.0,0.23529411764705882,0.11764705882352941,0.4782352941176471,0.5,-0.029411764705882353,1.2941176470588236
